feature,gain,split
PREV_Cash_AMT_ANNUITY_MAX,4910.958250904083,263.9
APPROVED_DAYS_TERMINATION_MEAN,4906.918856239319,234.4
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MAX,4897.701819133758,229.1
PREV_ACTIVE_AMT_ANNUITY_SUM,4897.357816934586,245.3
FLAG_WORK_PHONE,4895.282893896103,221.6
ENTRANCES_AVG,4885.520713186264,248.9
BUREAU_LAST6M_DEBT_CREDIT_DIFF_MEAN,4849.315503549576,242.0
PREV_ACTIVE_SIMPLE_INTERESTS_MEAN,4847.286574745178,254.4
PREV_CREDIT_TO_ANNUITY_RATIO_MAX,4840.045505619049,234.9
INS_LATE_PAYMENT_RATIO_MEAN,4831.84330201149,235.4
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MEAN,4830.401190567017,219.6
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MAX,4829.843066310883,188.0
INS_36M_AMT_PAYMENT_MAX,4821.581895446778,230.0
APPROVED_AMT_CREDIT_MAX,4819.879204893112,231.2
BUREAU_ACTIVE_CREDIT_TO_ANNUITY_RATIO_MEAN,4799.736097335815,273.1
BUREAU_SK_ID_BUREAU_NUNIQUE,4791.679109811783,235.3
PREV_LAST12M_AMT_ANNUITY_MEAN,4779.008574724197,248.2
BUREAU_MONTHS_BALANCE_SIZE_MEAN,4776.286448335648,221.6
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_MAX,4768.290365552903,246.2
INS_AMT_PAYMENT_MEAN,4744.980595731735,228.2
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,4743.874374818802,234.5
24_TREND_PAID_OVER_AMOUNT,4726.036812591553,248.9
BUREAU_LAST12M_AMT_CREDIT_MAX_OVERDUE_MAX,4716.709054994583,181.9
INS_60M_AMT_INSTALMENT_MAX,4709.507587528229,219.2
INS_60M_DPD_VAR,4687.943158817291,196.9
INS_AMT_INSTALMENT_MEAN,4665.109134244919,231.2
BUREAU_LL_DEBT_CREDIT_DIFF_MEAN,4663.7464548587795,229.9
INS_24M_CNT_DRAWINGS_ATM_CURRENT_MEAN,4635.012110376358,102.8
PREV_ACTIVE_AMT_ANNUITY_MAX,4623.095871973038,232.8
INS_60M_LATE_PAYMENT_MEAN,4614.897188425064,199.4
APPROVED_DAYS_FIRST_DUE_MIN,4611.730787801743,206.1
AMT_CREDIT_MAX_OVERDUE,4555.974660205841,201.6
BUREAU_ACTIVE_MONTHS_BALANCE_SIZE_MEAN,4538.852011442184,267.3
PREV_AMT_ANNUITY_MAX,4524.8425221920015,239.4
INS_LATE_PAYMENT_MEAN,4509.946416091919,217.3
LAST_LOAN_PAID_OVER_AMOUNT_mean,4479.61903629303,174.2
